"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"109605","109605","Hoevenen 's Hertogendijk","51.326458","4.384114","https://www.delijn.be/nl/haltes/109605","0"
"303771","303771","Wolvertem Imde Kerk","50.973173","4.305750","https://www.delijn.be/nl/haltes/303771","0"
"303821","303821","Brussegem Koster","50.931765","4.255222","https://www.delijn.be/nl/haltes/303821","1"
"303573","303573","Diegem Ring","50.900939","4.439336","https://www.delijn.be/nl/haltes/303573","1"
"307965","307965","Waver Noire Epine","50.735722","4.602485","https://www.delijn.be/nl/haltes/307965","0"
"310445","310445","Neerlanden Kruispunt","50.776667","5.075211","https://www.delijn.be/nl/haltes/310445","0"
"109492","109492","Mechelen Technopolis","51.002443","4.470116","https://www.delijn.be/nl/haltes/109492","1"
"213012","213012","Kaprijke Kleine Zuidstraat","51.218194","3.610030","https://www.delijn.be/nl/haltes/213012","0"
"216039","216039","Aalst Burchtstraat","50.935591","4.045838","https://www.delijn.be/nl/haltes/216039","0"
"206826","206826","Uitbergen Groenendijk","51.032573","3.948767","https://www.delijn.be/nl/haltes/206826","0"
"217786","217786","Hamme Kaaiplein","51.100542","4.133292","https://www.delijn.be/nl/haltes/217786","0"
"307807","307807","Sint-Jans-Molenbeek Ossegem","50.856470","4.326441","https://www.delijn.be/nl/haltes/307807","0"
"106469","106469","Grobbendonk Hildering","51.197437","4.762104","https://www.delijn.be/nl/haltes/106469","0"
"205392","205392","Stekene Bormte","51.202806","4.038255","https://www.delijn.be/nl/haltes/205392","0"
"207397","207397","Schoonaarde Dijk","51.007083","4.020231","https://www.delijn.be/nl/haltes/207397","1"
"302521","302521","Nieuwenrode Dorp","50.980282","4.350728","https://www.delijn.be/nl/haltes/302521","0"
"107200","107200","Mol Hangarstraat","51.189268","5.108171","https://www.delijn.be/nl/haltes/107200","0"
"201007","201007","Wondelgem Hoevestraat","51.092882","3.707443","https://www.delijn.be/nl/haltes/201007","1"
"203435","203435","Zelzate Koning Albertlaan","51.200338","3.795728","https://www.delijn.be/nl/haltes/203435","0"
"300264","300264","Brussegem Bollebeek Kapel","50.923346","4.245773","https://www.delijn.be/nl/haltes/300264","0"
"507430","507430","Sint-Kruis Brugse Metten","51.212960","3.243550","https://www.delijn.be/nl/haltes/507430","1"
